Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
VRT,Vertiv Holdings Llc.,20.05,0.01,0.05%,20.26,20.47,18.96,7871400,3/5/2021
VRTX,Vertex Pharmaceutic,211.98,4.19,2.02%,208.23,212.6,206.39,1704800,3/5/2021
VSAT,Viasat Inc,49.34,-0.67,-1.34%,51.15,51.15,46.6,727200,3/5/2021
VST,Vistra Energy Corp,17.82,0.33,1.89%,17.87,18.09,17.32,7587200,3/5/2021
VTR,Ventas Inc,55.14,1.72,3.22%,53.8,55.46,52.93,2490600,3/5/2021
VTRS,Viatris Inc,13.91,0.32,2.35%,13.69,13.99,13.36,13295200,3/5/2021
VVV,Valvoline Inc,25.49,0.93,3.79%,24.71,25.49,24.22,1378300,3/5/2021
VZ,Verizon Communications Inc,56,1.2,2.19%,54.95,56.2,54.92,23598000,3/5/2021
W,Wayfair Inc,295.66,8.66,3.02%,288.11,307.29,263.84,3576200,3/5/2021
WAB,Wabtec Corp,74.58,2.12,2.93%,73.64,74.96,72,998400,3/5/2021
WAL,Western Alliance Bancorp,96.19,2.92,3.13%,95.34,96.45,91.43,1202900,3/5/2021
WAT,Waters Corp,266.44,4.81,1.84%,262.46,267.14,258.91,338800,3/5/2021
WBA,Walgreens Boots Alliance,47.2,0.34,0.73%,47.1,47.48,46.48,6182100,3/5/2021
WBS,Webster Financial Corp,59.26,2.6,4.59%,58.04,59.29,56.92,721200,3/5/2021
WDAY,Workday Inc,237.02,6.67,2.90%,234.53,237.58,222.53,2699700,3/5/2021
WDC,Western Digital Cp,68.07,4.58,7.21%,67.62,69.32,64.59,9199801,3/5/2021
WEC,Wisconsin Energy Corp,84.48,2.2,2.67%,82.32,85.11,82.24,1386500,3/5/2021
WELL,Welltower Inc,70.26,0.53,0.76%,70.04,70.76,68.46,2322300,3/5/2021
WEN,Wendys Company,19.66,0.28,1.44%,19.4,19.69,18.86,4736200,3/5/2021
WEX,Wex Inc,213.97,4.48,2.14%,212.44,214.99,201.16,791800,3/5/2021
WFC,Wells Fargo & Company,37.43,0.27,0.73%,37.87,38.12,36.34,34558200,3/5/2021
WH,Wyndham Hotels & Resorts Inc,65.1,1.92,3.04%,63.93,65.39,60.86,1133600,3/5/2021
WHR,Whirlpool Corp,195.25,8.53,4.57%,188.49,196.22,184.93,732000,3/5/2021
WLK,Westlake Chemical Corp,89.4,4.11,4.82%,86.42,89.68,84.96,946700,3/5/2021
WLTW,Willis Towers WT,228.02,6.07,2.73%,224.19,228.39,221.2,873000,3/5/2021
