Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
GPN,"Global Payments Inc",193.76,0.099999999999994,+0.05%,193.45,196.02,191.43,1568624,"15:43 ET"
GPS,"Gap Inc",23.23,0.17,+0.74%,23,23.45,22.61,4328918,"15:43 ET"
GRA,"W.R. Grace & Company",54.31,-1.68,-3.00%,56.83,58,54.25,893868,"15:43 ET"
GRMN,"Garmin Ltd",114.43,-0.83999999999999,-0.73%,113.94,115.27,113.36,774786,"15:43 ET"
GRUB,"Grubhub Inc",71.17,0.090000000000003,+0.13%,72.64,73.06,70.47,956104,"15:43 ET"
GS,"Goldman Sachs Group",217.5,2.57,+1.20%,215.25,218,211.18,2990954,"15:43 ET"
GTES,"Gates Industrial Corp Plc",12.85,0.27,+2.15%,12.59,12.89,12.41,154279,"15:43 ET"
GWRE,"Guidewire Software Inc",109.12,-0.13,-0.12%,109,109.57,105.65,596852,"15:43 ET"
GWW,"W.W. Grainger",404.61,16.39,+4.22%,390.11,405.75,388.89,242531,"15:43 ET"
H,"Hyatt Hotels Corp",66.09,-1.44,-2.13%,67,67.6,65.2,1112754,"15:42 ET"
HAE,"Haemonetics Corp",109.71,1.74,+1.61%,107.68,110.69,105.8,438583,"15:42 ET"
HAIN,"Hain Celestial Group",33.35,2.56,+8.31%,31.74,33.35,31,949636,"15:43 ET"
HAL,"Halliburton Company",14.33,-0.050000000000001,-0.35%,14.23,14.69,13.85,11468681,"15:43 ET"
HAS,"Hasbro Inc",85.55,0.14999999999999,+0.18%,85.72,87.22,84.73,649934,"15:42 ET"
HBAN,"Huntington Bcshs",12.28,0.33,+2.76%,12,12.34,11.79,10212142,"15:43 ET"
HBI,"Hanesbrands Inc",12.97,0.16,+1.25%,12.82,13,12.72,7602729,"15:43 ET"
HCA,"Hca Holdings Inc",150.61,3.29,+2.23%,146.38,154.94,146.38,1589606,"15:43 ET"
HD,"Home Depot",275.37,5.4,+2.00%,272.79,275.76,269.2,3522497,"15:43 ET"
HDS,"HD Supply Hlds Cmm",44.3,0.55,+1.26%,44.15,44.75,43.53,2438082,"15:42 ET"
HE,"Hawaiian Electric Industries",37.75,2.13,+5.98%,35.9,37.91,35.02,403633,"15:43 ET"
HEI,"Heico Corp",130.12,4.33,+3.44%,126.32,130.92,125.81,356574,"15:43 ET"
HEI.A,"Heico Cp Cl A",117.99,5.52,+4.91%,113,119.03,112.67,358387,"15:42 ET"
HES,"Hess Corp",44.49,1.1,+2.54%,44.18,44.71,42.6,1818465,"15:43 ET"
HFC,"Hollyfrontier Corp",21.66,-0.9,-3.99%,22.6,22.72,20.83,3074544,"15:43 ET"
HHC,"Howard Hughes Corp",69.71,1.55,+2.27%,69,70.99,68.27,361536,"15:43 ET"
HIG,"Hartford Financial Services Group",45.88,1.01,+2.25%,45.16,46.27,44.81,1509676,"15:43 ET"
HII,"Huntington Ingalls Industries",161.57,5.6,+3.59%,157.2,164.4,157.13,337956,"15:43 ET"
HIW,"Highwoods Properties",35.35,1.74,+5.18%,33.7,35.35,33.7,1245444,"15:43 ET"
HLF,"Herbalife Ltd",44.65,0.26,+0.59%,44.75,45.62,44.11,772650,"15:43 ET"
HLT,"Hilton Inc",104,-0.19,-0.18%,105,106.45,102.74,3062340,"15:43 ET"
HOG,"Harley-Davidson Inc",34.67,1.53,+4.62%,33.14,35.96,33.04,3188608,"15:43 ET"
HOLX,"Hologic Inc",66.89,-1.46,-2.14%,68.23,68.51,64.01,2666103,"15:43 ET"
HON,"Honeywell International Inc",202.02,5.03,+2.55%,199.41,203.02,195.26,4392485,"15:43 ET"
HP,"Helmerich & Payne",17.37,-0.16,-0.91%,17.93,17.93,16.79,1768976,"15:43 ET"
HPE,"Hewlett Packard Enterprise Comp",9.89,0.16,+1.64%,9.77,10,9.71,10238822,"15:43 ET"
HPP,"Hudson Pacific Properties",24.1,1.51,+6.68%,22.82,24.26,22.68,1910148,"15:43 ET"
HPQ,"HP Inc",19.88,0.15,+0.76%,19.77,20.08,19.66,7749812,"15:43 ET"
HRB,"H&R Block",18.08,-0.26,-1.42%,18.44,18.56,18.08,1693322,"15:43 ET"
HRC,"Hill-Rom Holdings Inc",93.76,-0.88,-0.93%,94.59,94.61,92.5,657759,"15:42 ET"
HRL,"Hormel Foods Corp",50.87,1.38,+2.79%,49.43,50.91,49.13,796721,"15:43 ET"
HSIC,"Henry Schein Inc",67.91,-0.090000000000003,-0.13%,68.14,69,66.46,1191619,"15:43 ET"
HST,"Host Marriott Financial Trust",13.34,-0.3,-2.20%,13.59,13.77,13.24,12433442,"15:43 ET"
HSY,"Hershey Foods Corp",152.67,2.95,+1.97%,150.18,153.56,149.46,625741,"15:43 ET"
HTA,"Healthcare Trust of America",27.95,1.31,+4.92%,26.65,28.01,26.57,1495675,"15:43 ET"
HUBB,"Hubbell Inc B",160.58,1.97,+1.24%,158.73,161.28,157.68,194662,"15:43 ET"
HUBS,"Hubspot Inc",339.75,-5.82,-1.68%,338.01,344.24,329.72,664012,"15:42 ET"
HUM,"Humana Inc",429.3,6.31,+1.49%,422.31,430,408.89,623758,"15:42 ET"
HUN,"Huntsman Corp",24.93,0.48,+1.96%,24.36,25.05,24.22,1017200,"15:43 ET"
HWM,"Howmet Aerospace Inc",23.1,0.67,+2.99%,22.55,24.15,22.45,4303344,"15:43 ET"
HXL,"Hexcel Corp",42.19,1.41,+3.46%,41.14,42.45,40.65,2287730,"15:43 ET"
HZNP,"Horizon Therapeutics",72.3,0.98,+1.37%,71.12,72.61,68.5,2569409,"15:43 ET"
IAA,"Iaa Inc",62.36,0.56,+0.91%,61.5,62.95,61.12,459783,"15:43 ET"
IAC,"Iac Holdings Inc",133.5,-2.75,-2.02%,136.64,137.92,130.5,807229,"15:43 ET"
IART,"Integra Lifesciences",54.77,-0.91,-1.63%,55.87,55.92,53.44,400077,"15:43 ET"
IBKR,"Interactive Brokers",50.81,1.32,+2.67%,49.44,50.92,48.93,441013,"15:43 ET"
IBM,"International Business Machines",117.88,2.35,+2.03%,116.69,117.99,115.47,4209104,"15:43 ET"
ICE,"Intercontinental Exchange",98.23,0.010000000000005,+0.01%,98.02,98.33,96.14,2338235,"15:43 ET"
ICUI,"I C U Medical Inc",196.02,4.8,+2.51%,190.97,196.21,189.43,80883,"15:43 ET"
IDA,"Idacorp Inc",92.96,-0.15000000000001,-0.16%,93.66,93.7,91.43,355838,"15:42 ET"
IDXX,"Idexx Laboratories",439.74,3.29,+0.75%,431.89,443.72,421.15,524004,"15:43 ET"
IEX,"Idex Corp",196.47,8.66,+4.61%,188.92,197.5,187.39,425302,"15:43 ET"
IFF,"International Flavors & Fragrances",112.03,-0.34999999999999,-0.31%,109.25,114.15,105.06,2116574,"15:43 ET"
ILMN,"Illumina Inc",300.81,-4.88,-1.60%,301.61,308,299.07,1366340,"15:43 ET"
INCY,"Incyte Corp",83.59,2.31,+2.84%,80.92,84.95,80.65,736643,"15:43 ET"
INFO,"IHS Markit Ltd",91.29,0.14,+0.15%,91.16,91.7,90.06,1402890,"15:43 ET"
INGR,"Ingredion Inc",74.55,1.53,+2.10%,73.93,75.83,73.13,421202,"15:43 ET"
INTC,"Intel Corp",45.58,-0.020000000000003,-0.04%,45.4,46.48,45,28321460,"15:43 ET"
INTU,"Intuit Inc",343.09,-17.05,-4.73%,358.15,358.15,339.35,1055985,"15:43 ET"
INVH,"Invitation Homes Inc",28.02,0.43,+1.56%,27.69,28.04,27.11,7945950,"15:43 ET"
IONS,"Ionis Pharmaceuticals",50.21,0.11,+0.22%,50.26,50.84,49.31,662939,"15:43 ET"
IOVA,"Iovance Biotherapeutics Inc",38.16,-1,-2.55%,39.58,39.93,37.06,972576,"15:43 ET"
IP,"International Paper Company",48.69,1.33,+2.81%,47.57,48.87,47.17,1894645,"15:43 ET"
IPG,"Interpublic Group of Companies",21.41,0.32,+1.52%,21.26,21.49,21.05,3912725,"15:43 ET"
IPGP,"Ipg Photonics Corp",206.67,2.33,+1.14%,203.71,209.78,203.35,210764,"15:43 ET"
