ShortName;ValorSymbol;ValorNumber;ISIN;TitleSegmentDesc;BasketMembershipsSymbols;TradingBaseCurrency;ClosingPrice;ClosingPerformance;ClosingDelta;BidVolume;BidPrice;AskPrice;AskVolume;MidSpread;PreviousClosingPrice;LatestTradeDate;LatestTradeTime;OpeningPrice;DailyHighPrice;DailyLowPrice;ClobVolume;OffBookVolume;SwissAtMidVolume;SwissAtMidRatioOnMarket;SwissAtMidRatioTotal;SwissAtMidTurnover;EbboVolume;TotalTurnover;TotalTurnoverCHF;GeographicalAreaDesc;ListingSegmentDesc;SecTypeDesc
ARBONIA N;ARBN;11024060;CH0110240600;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2300P|C2300T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;20.55;0;0;1570;+Market;20.7;4637;;20.55;20220110;173731.55;20.7;20.7;20.2;70067;0;26395;37.6711;27.3631;538580.75;0;1971487.35;1971487.35;Switzerland;International Reporting Standard;Registered share
Arundel N;ARON;227101;CH0002271010;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;2.42;0;0;1000;2.1;2.52;4000;18.1818;2.42;20220104;;;;;0;0;0;;;0;0;0;0;Switzerland;International Reporting Standard;Registered share
ARYZTA N;ARYN;4323836;CH0043238366;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3500P|C3500T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIESZ|SPIEMTC|SPIERC|SPIEMC|SPIERV|SPIESC|SPIEMP|SPIERP|SPIERD|SPIEVP;CHF;1.131;-0.35;-0.004;5000;1.11;1.1;550;-0.905;1.135;20220110;173049;1.134;1.142;1.119;3112600;0;486800;15.5821;13.4814;549942.95;11501;4081341.3;4081341.3;Switzerland;International Reporting Standard;Registered share
ASCOM N;ASCN;1133920;CH0011339204;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C9500P|C9500T|C9000P|C9000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;11.56;-2.03;-0.24;1486;11.4;12.42;1500;8.5642;11.8;20220110;173049;11.94;11.94;11.4;81836;0;2320;2.7137;2.642;27137.1;3657;1023677.66;1023677.66;Switzerland;Swiss Reporting Standard;Registered share
ASMALLWORLD N;ASWN;40488012;CH0404880129;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C5000P|C5000T|C5700P|C5700T|SXSLIX|SXSLI;CHF;2.95;-5.45;-0.17;1725;2.95;3.1;499;4.9587;3.12;20220110;131753.958;3.1;3.1;2.95;1201;0;0;0;0;0;0;3568.1;3568.1;Switzerland;Swiss Reporting Standard;Registered share
AUTONEUM N;AUTN;12748036;CH0127480363;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3300P|C3300T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;179.5;-0.06;-0.1;10;179.6;181.8;6;1.2175;179.6;20220110;173049;179.2;183.2;177.8;14248;0;3109;21.3956;17.6247;559317.95;283;3182884.25;3182884.25;Switzerland;International Reporting Standard;Registered share
BACHEM N -B-;BANB;1253020;CH0012530207;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SLIFE|SLIFEX|SPIEX|SPIEXX|C4000P|C4000T|C4500P|C4500T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIGE|SPIGT|SPIEMTP|SPIESZ|SPIEMTC|SPIERC|SPIEMC|SPIELC|SPIESC|SPIEMP|SPIERP|SPIELP;CHF;559;-5.41;-32;67;+Market;+Market;10;;591;20220110;173125.74;590;590;554;33017;0;1080;3.2354;3.134;610453.5;364;19497603.5;19497603.5;Switzerland;Swiss Reporting Standard;Registered share
BALOISE N;BALN;1241051;CH0012410517;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C8500P|C8500T|C8000P|C8000T|SXSLIX|SXSLI|SMIMDP|SDIVI|SDIVIC|SPIVP|SPIRV|SPILP|SPIMTP|SPIVPE|SPIRVE|SPILPE|SPITPE|SPIVPC|SPIRVC|SPILPC|SPIMTC|SPIVPD|SPIRVD|SPILPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIEMTC|SPIELC|SPIERV|SPIERD|SPIELP|SPIEVP;CHF;158.8;-0.44;-0.7;81;156.9;159;70;1.3295;159.5;20220110;173049;159.8;160.8;158.7;176798;13194;8014;4.5079;4.0275;1278666;978;31677267.9;31677267.9;Switzerland;International Reporting Standard;Registered share
BARRY CALLEBAUT N;BARN;900296;CH0009002962;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C3000P|C3000T|C3500P|C3500T|SXSLIX|SXSLI|SMIMDP|SSUSTX|SSUST|SPISZ|SPIMP|SPIRP|SPILP|SPIMTP|SPISPE|SPIMPE|SPIRPE|SPILPE|SPITPE|SPISPC|SPIMPC|SPIRPC|SPILPC|SPIMTC|SPISPD|SPIMPD|SPIRPD|SPILPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEMTC|SPIERC|SPIELC|SPIERP|SPIELP;CHF;2190;0.18;4;16;+Market;+Market;8;;2186;20220110;173127.821;2184;2230;2184;10359;0;382;3.6618;3.5325;843600;73;23774448;23774448;Switzerland;International Reporting Standard;Registered share
BASELLAND KB PS;BLKB;147355;CH0001473559;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXBPX|SXPCX|SSIP|SSIRT|SXGE|SXBP|SXPC|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;904;-1.09;-10;95;904;912;5;0.8811;914;20220110;173049;912;914;898;847;0;4;0.4723;0.47;3631;0;769103;769103;Switzerland;Swiss Reporting Standard;Participation certificate
BASILEA N;BSLN;1143244;CH0011432447;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SLIFE|SLIFEX|SBIOM|SPIEX|SPIEXX|SBIOMX|C4000P|C4000T|C4500P|C4500T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;40.74;1.85;0.74;300;40;40.9;900;2.225;40;20220110;173049;41.34;41.34;39.74;81295;0;1726;2.0363;1.9957;69708.54;3466;3504938;3504938;Switzerland;International Reporting Standard;Registered share
