ShortName;ValorSymbol;ValorNumber;ISIN;TitleSegmentDesc;BasketMembershipsSymbols;TradingBaseCurrency;ClosingPrice;ClosingPerformance;ClosingDelta;BidVolume;BidPrice;AskPrice;AskVolume;MidSpread;PreviousClosingPrice;LatestTradeDate;LatestTradeTime;OpeningPrice;DailyHighPrice;DailyLowPrice;ClobVolume;OffBookVolume;SwissAtMidVolume;SwissAtMidRatioOnMarket;SwissAtMidRatioTotal;SwissAtMidTurnover;EbboVolume;TotalTurnover;TotalTurnoverCHF;GeographicalAreaDesc;ListingSegmentDesc;SecTypeDesc
DUFRY N;DUFN;2340545;CH0023405456;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C5000P|C5000T|C5300P|C5300T|SXSLIX|SXSLI|SMIMDP|SSUSTX|SSUST|SPISZ|SPIRV|SPIMTP|SPISPE|SPIRVE|SPITPE|SPISPC|SPIRVC|SPIMTC|SPISPD|SPIRVD|SPITPD|ESCGIP|ESCGIT;CHF;48.43;-0.43;-0.21;40;+Market;+Market;630;;48.64;20220110;173049;48.64;50.22;48.01;340024;0;11442;3.3353;3.2276;564897.84;3037;17375917.92;17375917.92;Switzerland;International Reporting Standard;Registered share
EDISUN POWER EUROPE N;ESUN;2473640;CH0024736404;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C7500T|C7500P|C7000P|C7000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;127;-1.93;-2.5;33;127;+Market;18;0;129.5;20220110;173049;129.5;129.5;127;579;0;0;0;0;0;0;74240;74240;Switzerland;Swiss Reporting Standard;Registered share
EEII I;EEII;716295;CH0007162958;Swiss Shares;SSIP|SSIRT;CHF;4.4;0;0;1500;4.2;4.9;1170;15.3846;4.4;20211125;;;;;0;0;0;;;0;0;0;0;Switzerland;Standard for Investment Companies;Bearer share
EFG INTERNATIONAL N;EFGN;2226822;CH0022268228;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;7.16;-1.51;-0.11;7100;7;7.28;800;3.9216;7.27;20220110;173049;7.35;7.35;7.12;74682;7000;2084;2.7212;2.4327;14981.83;1901;617066.8;617066.8;Switzerland;International Reporting Standard;Registered share
ELMA ELECTRONIC N;ELMN;531916;CH0005319162;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;720;0;0;81;690;720;16;4.2553;720;20220105;;;;;0;0;0;;;0;0;0;0;Switzerland;Swiss Reporting Standard;Registered share
EMMI N;EMMN;1282989;CH0012829898;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3500P|C3500T|SXSLIX|SXSLI|SPISZ|SPIMP|SPIRP|SPIRV|SPILP|SPIQP|SPIMTP|SPISPE|SPIMPE|SPIRPE|SPIRVE|SPILPE|SPIQPE|SPITPE|SPISPC|SPIMPC|SPIRPC|SPIRVC|SPILPC|SPIQPC|SPIMTC|SPISPD|SPIMPD|SPIRPD|SPIRVD|SPILPD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIGE|SPIGT|SPIEMTP|SPIESZ|SPIEQC|SPIEMTC|SPIERC|SPIEMC|SPIELC|SPIEQP|SPIESC|SPIEMP|SPIERP|SPIELP;CHF;1053;-1.86;-20;34;+Market;1099;34;;1073;20220110;173049;1069;1069;1047;4584;0;1620;35.2787;26.0786;1714407.5;8;6558969.5;6558969.5;Switzerland;Swiss Reporting Standard;Registered share
EMS-CHEMIE N;EMSN;1644035;CH0016440353;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C1000P|C1000T|C1300P|C1300T|SXSLIX|SXSLI|SMIMDP|SDIVI|SDIVIC|SPISZ|SPIMP|SPILP|SPIQP|SPIMTP|SPISPE|SPIMPE|SPILPE|SPIQPE|SPITPE|SPISPC|SPIMPC|SPILPC|SPIQPC|SPIMTC|SPISPD|SPIMPD|SPILPD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIGE|SPIGT|SPIEMTP|SPIESZ|SPIEQC|SPIEMTC|SPIEMC|SPIELC|SPIEQP|SPIESC|SPIEMP|SPIELP;CHF;962.5;-5.45;-55.5;2;963.5;+Market;20;0;1018;20220110;171955.06;1022;1022;957.5;8534;0;1383;15.8838;13.7066;1355012.25;173;9962626.75;9962626.75;Switzerland;International Reporting Standard;Registered share
ENERGIEDIENST N;EDHN;3965118;CH0039651184;Swiss Shares;SSIP|SSIRT;CHF;47.9;1.48;0.7;750;46.9;47.9;518;2.1097;47.2;20220110;154730.697;47;47.9;46.8;2118;0;0;0;0;0;141;106679;106679;Switzerland;Swiss Reporting Standard;Registered share
ENR RUSSIA INVEST I;RUS;3447695;CH0034476959;Swiss Shares;SSIP|SSIRT;CHF;8.8;0;0;300;8.3;9.3;400;11.3636;8.8;20211123;;;;;0;0;0;;;0;0;0;0;Switzerland;Standard for Investment Companies;Bearer share
EPH EUROPEAN PROPERTY;EPH;1673866;VGG290991014;Foreign Shares;;USD;30;0;0;30;29;30;100;3.3898;30;20211228;;;;;0;0;0;;;0;0;0;0;Virgin Islands (British);Standard for Real Estate Companies;Registered share
EVOLVA N;EVE;2121806;CH0021218067;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SLIFE|SLIFEX|SBIOM|SPIEX|SPIEXX|SBIOMX|C4000P|C4000T|C4500P|C4500T|SXSLIX|SXSLI;CHF;0.135;-2.32;-0.0032;10000;0.133;+Market;2500;0;0.1382;20220110;173049;0.1354;0.137;0.132;1167552;0;0;0;0;0;5874;157978.88;157978.88;Switzerland;International Reporting Standard;Registered share
FEINTOOL N;FTON;932009;CH0009320091;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3300P|C3300T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;55.5;-2.97;-1.7;100;55.5;57;50;2.6667;57.2;20220110;173049;57.6;57.6;55.5;1870;0;36;1.8566;1.8228;2062.8;69;110947;110947;Switzerland;International Reporting Standard;Registered share
FISCHER N;FI-N;175230;CH0001752309;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|SMIMDP|SSUSTX|SSUST|SPISZ|SPIMP|SPIRP|SPIRV|SPIQP|SPIMTP|SPISPE|SPIMPE|SPIRPE|SPIRVE|SPIQPE|SPITPE|SPISPC|SPIMPC|SPIRPC|SPIRVC|SPIQPC|SPIMTC|SPISPD|SPIMPD|SPIRPD|SPIRVD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIESZ|SPIEQC|SPIEMTC|SPIERC|SPIEMC|SPIEQP|SPIESC|SPIEMP|SPIERP;CHF;1410;-3.29;-48;20;+Market;1445;7;;1458;20220110;173049;1454;1461;1405;9173;0;1323;14.3384;12.5403;1897995.5;54;15036916.5;15036916.5;Switzerland;Swiss Reporting Standard;Registered share
FLUGHAFEN ZUERICH N;FHZN;31941693;CH0319416936;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|SMIMDP|SPIVP|SPISZ|SPIRV|SPILP|SPIQP|SPIMTP|SPIVPE|SPISPE|SPIRVE|SPILPE|SPIQPE|SPITPE|SPIVPC|SPISPC|SPIRVC|SPILPC|SPIQPC|SPIMTC|SPIVPD|SPISPD|SPIRVD|SPILPD|SPIQPD|SPITPD|ESCGIP|ESCGIT;CHF;173.7;1.7;2.9;10;+Market;175;1350;;170.8;20220110;173049;173.3;179.2;172;157790;0;10838;6.8353;6.398;1891134.9;770;29623334.7;29623334.7;Switzerland;International Reporting Standard;Registered share
FORBO N;FORN;354151;CH0003541510;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3700P|C3700T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIESZ|SPIEQC|SPIEMTC|SPIERC|SPIEMC|SPIELC|SPIERV|SPIEQP|SPIESC|SPIEMP|SPIERP|SPIERD|SPIELP;CHF;1836;-2.65;-50;17;1800;1870;25;3.8147;1886;20220110;173049;1884;1888;1820;794;0;936;117.8841;54.104;1746352;0;3211990;3211990;Switzerland;International Reporting Standard;Registered share
FORBO N 2. LINIE;FORNE;18390376;CH0183903761;Swiss Shares;;CHF;1906;0;0;0;;;0;;1906;20211229;;;;;0;0;0;;;0;0;0;0;Switzerland;International Reporting Standard;Registered share
FORMULAFIRST I;FFI;1462983;VGG3637V1094;Foreign Shares;;CHF;33.8;0;0;0;;;0;;33.8;20211230;;;;;0;0;0;;;0;0;0;0;Virgin Islands (British);Standard for Investment Companies;Bearer share
Fundamenta Real Estate N;FREN;4582551;CH0045825517;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|REAL|REALX|SREAL|SREALX|ESCGIP|ESCGIT|RESAL|RESALX;CHF;19.2;0;0;13618;19.2;19.5;1133;1.5504;19.2;20220110;173049;19.2;19.3;19.2;4810;0;88;1.8295;1.7967;1694;0;94097.05;94097.05;Switzerland;Standard for Real Estate Companies;Registered share
GALENICA N;GALE;36067446;CH0360674466;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C5000P|C5000T|C5300P|C5300T|SXSLIX|SXSLI|SMIMDP|SPIVP|SPISZ|SPIMP|SPIRP|SPILP|SPIQP|SPIMTP|SPIVPE|SPISPE|SPIMPE|SPIRPE|SPILPE|SPIQPE|SPITPE|SPIVPC|SPISPC|SPIMPC|SPIRPC|SPILPC|SPIQPC|SPIMTC|SPIVPD|SPISPD|SPIMPD|SPIRPD|SPILPD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIGE|SPIGT|SPIEMTP|SPIEVC|SPIESZ|SPIEQC|SPIEMTC|SPIELC|SPIEQP|SPIESC|SPIELP|SPIEVP;CHF;64.9;-4.42;-3;30;64.95;66.5;170;2.3583;67.9;20220110;173049;67.7;67.7;64.9;101582;3285;4184;4.0947;3.8158;276510.55;598;7190784.63;7190784.63;Switzerland;International Reporting Standard;Registered share
GAM N;GAM;10265962;CH0102659627;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;1.437;-1.58;-0.023;390;1.28;1.488;8858;15.0289;1.46;20220110;173049;1.445;1.488;1.425;246998;0;26234;10.3768;9.4012;38836.75;5817;406329.65;406329.65;Switzerland;International Reporting Standard;Registered share
GAM N 2. LINIE;GAMEE;24222519;CH0242225198;Swiss Shares;;CHF;1.917;0;0;0;;;0;;1.917;20160427;;;;;0;0;0;;;0;0;0;0;Switzerland;International Reporting Standard;Registered share
GAVAZZI I;GAV;1100359;CH0011003594;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXBSX|SXBPX|SSIP|SSIRT|SXGE|SXBS|SXBP|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2700P|C2700T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;284;-0.7;-2;40;284;287;40;1.0508;286;20220110;173049;285;287;284;344;0;1;0.2907;0.2899;284.5;0;98478.5;98478.5;Switzerland;International Reporting Standard;Bearer share
GEBERIT N;GEBN;3017040;CH0030170408;Swiss Shares;SMIC|SPIX|SLCI|SOCI|SLCIX|SOCIX|SXRSX|SSIP|SSIRT|SMI|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SMIEUR|SMIEXC|SMIEXP|C2000P|C2000T|C2300P|C2300T|SLI|SLIC|SMIDVP|SLIDP|SDIVI|SDIVIC|SSUSTX|SSUST|SMCEUR|SLCEUR|SLIEUR|SMIUSD|SMCUSD|SLIUSD|SLCUSD|SPIMP|SPIRP|SPIRV|SPILP|SPIQP|SPIMTP|SPIMPE|SPIRPE|SPIRVE|SPILPE|SPIQPE|SPITPE|SPIMPC|SPIRPC|SPIRVC|SPILPC|SPIQPC|SPIMTC|SPIMPD|SPIRPD|SPIRVD|SPILPD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPI20|SPI2C|ESCGLP|ESCGLT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEQC|SPIEMTC|SPIERC|SPIEMC|SPIELC|SPIEQP|SPIEMP|SPIERP|SPIELP;CHF;685;-3.9;-27.8;7;699.6;699.6;100;0;712.8;20220110;173049.109;710;710;678.6;134518;0;7681;5.6932;5.3865;5332096.3;397;98549199.5;98549199.5;Switzerland;International Reporting Standard;Registered share
GEBERIT N 2. LINIE;GEBNE;35854105;CH0358541057;Swiss Shares;;CHF;683.2;-4.95;-35.6;0;;-Market;0;;718.8;20220110;161029.876;703.6;706.8;683.2;1600;0;0;0;0;0;0;1114400;1114400;Switzerland;International Reporting Standard;Registered share
GEN ELEC;GE;112258433;US3696043013;Foreign Shares;;CHF;90;0;0;2;81;97;200;17.9775;90;20220105;;;;;0;0;0;;;0;0;0;0;United States;International Reporting Standard;Registered share
GIVAUDAN N;GIVN;1064593;CH0010645932;Swiss Shares;SMIC|SPIX|SLCI|SOCI|SLCIX|SOCIX|SXRSX|SSIP|SSIRT|SMI|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SMIEUR|SMIEXC|SMIEXP|C1000P|C1000T|C1300P|C1300T|SLI|SLIC|SMIDVP|SLIDP|SSUSTX|SSUST|SMCEUR|SLCEUR|SLIEUR|SMIUSD|SMCUSD|SLIUSD|SLCUSD|SPIMP|SPILP|SPIQP|SPIMTP|SPIMPE|SPILPE|SPIQPE|SPITPE|SPIMPC|SPILPC|SPIQPC|SPIMTC|SPIMPD|SPILPD|SPIQPD|SPITPD|ESCGIP|ESCGIT|SPI20|SPI2C|ESCGLP|ESCGLT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEQC|SPIEMTC|SPIEMC|SPIELC|SPIEQP|SPIEMP|SPIELP;CHF;4405;-3.86;-177;7;+Market;+Market;5;;4582;20220110;173450.005;4586;4586;4380;23513;0;1372;5.7988;5.481;6130448.5;147;111372620.5;111372620.5;Switzerland;International Reporting Standard;Registered share
GLARNER KB N;GLKBN;18939665;CH0189396655;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;27.6;-0.36;-0.1;1009;27.6;28.4;330;2.8571;27.7;20220110;173049;27.6;27.9;27.6;2049;0;0;0;0;0;0;56961.5;56961.5;Switzerland;Swiss Reporting Standard;Registered share
GMSA N;GMI;1294946;CH0012949464;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3500P|C3500T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;408;-1.92;-8;296;406;416;93;2.4331;416;20220110;173049;410;416;408;45;0;0;0;0;0;0;18428;18428;Switzerland;Swiss Reporting Standard;Registered share
GOODYEAR;GT;935430;US3825501014;Foreign Shares;;CHF;18;-2.17;-0.4;0;;;0;;18.4;20211201;;;;;0;0;0;;;0;0;0;0;United States;International Reporting Standard;Registered share
GRAUB KB PS;GRKP;134020;CH0001340204;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXBPX|SXPCX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXBP|SXPC|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;1540;-0.96;-15;5;1535;1555;5;1.2945;1555;20220110;173049;1560;1560;1535;230;0;0;0;0;0;0;354605;354605;Switzerland;Swiss Reporting Standard;Participation certificate
GURIT I;GUR;801223;CH0008012236;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXBSX|SXBPX|SSIP|SSIRT|SXGE|SXBS|SXBP|SNSPIX|SNSPI|SPIEX|SPIEXX|C1000P|C1000T|C1300P|C1300T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;1446;-5.24;-80;29;1430;1550;30;8.0537;1526;20220110;173049;1540;1540;1434;398;0;9;2.2113;2.1635;13414;9;610442;610442;Switzerland;Swiss Reporting Standard;Bearer share
HBM N;HBMN;1262725;CH0012627250;Swiss Shares;IGSP|IGSTR|SSIP|SSIRT|SLIFE|SLIFEX|SBIOM|SBIOMX;CHF;328;-1.94;-6.5;7;328;329.5;330;0.4563;334.5;20220110;173049;337.5;337.5;326.5;4921;0;216;4.2403;4.0678;71085.25;173;1760602.75;1760602.75;Switzerland;Standard for Investment Companies;Registered share
HBM N 2. LINIE;HBMNE;25771709;CH0257717097;Swiss Shares;;CHF;170;0;0;0;;;0;;170;20180110;;;;;0;0;0;;;0;0;0;0;Switzerland;Standard for Investment Companies;Registered share
HELVETIA HOLDING N;HELN;46664220;CH0466642201;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|SMIMC|SMIM|SMIEXC|SMIEXP|C8500P|C8500T|C8000P|C8000T|SXSLIX|SXSLI|SMIMDP|SPIVP|SPIMP|SPIRP|SPIRV|SPILP|SPIMTP|SPIVPE|SPIMPE|SPIRPE|SPIRVE|SPILPE|SPITPE|SPIVPC|SPIMPC|SPIRPC|SPIRVC|SPILPC|SPIMTC|SPIVPD|SPIMPD|SPIRPD|SPIRVD|SPILPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIEVC|SPIEMTC|SPIERC|SPIEMC|SPIELC|SPIERV|SPIEMP|SPIERP|SPIERD|SPIELP|SPIEVP;CHF;113.8;-0.35;-0.4;220;+Market;+Market;195;;114.2;20220110;173049;114.8;115.4;113.5;136538;0;7457;5.3457;5.0744;853873.25;2958;16824970.75;16824970.75;Switzerland;International Reporting Standard;Registered share
HIAG IMMOBILIEN N;HIAG;23951877;CH0239518779;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|REAL|REALX|SREAL|SREALX|ESCGIP|ESCGIT|RESAL|RESALX;CHF;94.6;-0.63;-0.6;200;94.4;95;200;0.6336;95.2;20220110;173049;95.2;95.2;94.4;2953;10699;5114;173.1798;27.2514;485627;0;1783632.4;1783632.4;Switzerland;Standard for Real Estate Companies;Registered share
HIGHLIGHT E AND E I;HLEE;358325;CH0003583256;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXBSX|SXBPX|SSIP|SSIRT|SXGE|SXBS|SXBP|SNSPIX|SNSPI|SPIEX|SPIEXX|C5000P|C5000T|C5700P|C5700T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;26;0;0;1190;25.2;26;450;3.125;26;20220107;;;;;0;0;0;;;0;0;0;0;Switzerland;International Reporting Standard;Bearer share
HOCHDORF N;HOCN;2466652;CH0024666528;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C3000P|C3000T|C3500P|C3500T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;40.6;-5.36;-2.3;199;40.5;43;330;5.988;42.9;20220110;173049;40.45;41.6;40.45;722;0;0;0;0;0;0;29378.5;29378.5;Switzerland;Swiss Reporting Standard;Registered share
HOLCIM N;HOLN;1221405;CH0012214059;Swiss Shares;SMIC|SPIX|SLCI|SOCI|SLCIX|SOCIX|SXRSX|SSIP|SSIRT|SMI|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SMIEUR|SMIEXC|SMIEXP|C2000P|C2000T|C2300P|C2300T|SLI|SLIC|SMIDVP|SLIDP|SSUSTX|SSUST|SMCEUR|SLCEUR|SLIEUR|SMIUSD|SMCUSD|SLIUSD|SLCUSD|SPIVP|SPIRV|SPIMTP|SPIVPE|SPIRVE|SPITPE|SPIVPC|SPIRVC|SPIMTC|SPIVPD|SPIRVD|SPITPD|ESCGIP|ESCGIT|SPI20|SPI2C|ESCGLP|ESCGLT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIGE|SPIGT|SPIEMTP|SPIEVC|SPIEMTC|SPIERV|SPIERD|SPIEVP;CHF;48.71;0.72;0.35;2923;+Market;+Market;945;;48.36;20220110;173906.089;48.64;49.17;48.32;1677389;2401;217725;12.9106;11.42;10603199.86;9010;92923466.91;92923466.91;Switzerland;International Reporting Standard;Registered share
HUBER+SUHNER N;HUBN;3038073;CH0030380734;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C9500P|C9500T|C9000P|C9000T|SXSLIX|SXSLI|ESCGIP|ESCGIT;CHF;80.8;-4.15;-3.5;10;80.8;80;13;-0.995;84.3;20220110;173127.594;84.4;84.4;80.5;40725;0;512;1.2226;1.2078;41671.2;1153;3471502.5;3471502.5;Switzerland;Swiss Reporting Standard;Registered share
Huber+Suhner N 2. LINIE;HUBNE;114146685;CH1141466859;Swiss Shares;;CHF;81.3;-4.24;-3.6;0;;-Market;0;;84.9;20220110;165512.12;83.8;83.8;81.3;5000;0;0;0;0;0;0;412400;412400;Switzerland;Swiss Reporting Standard;Registered share
HYPO LENZB N;HBLN;134160;CH0001341608;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8300P|C8300T|C8000P|C8000T|SXSLIX|SXSLI|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT;CHF;4200;1.45;60;10;4180;4220;3;0.9524;4140;20220110;140522.824;4140;4200;4140;18;0;0;0;0;0;0;75220;75220;Switzerland;Swiss Reporting Standard;Registered share
IDORSIA N;IDIA;36346343;CH0363463438;Swiss Shares;SPIX|SMCI|SNCI|SOCI|SMCIX|SNCIX|SOCIX|SXRSX|SSIP|SSIRT|SBO100|SBM100|SXGE|SXRS|SNSPIX|SNSPI|SLIFE|SLIFEX|SBIOM|SPIEX|SPIEXX|SBIOMX|C4000P|C4000T|C4500P|C4500T|SXSLIX|SXSLI|SPISZ|SPIMTP|SPISPE|SPITPE|SPISPC|SPIMTC|SPISPD|SPITPD|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET|SPIEMTP|SPIESZ|SPIEMTC|SPIESC;CHF;19.29;-0.46;-0.09;10752;+Market;19.5;250;;19.38;20220110;173359.452;21.96;21.96;18.77;2127439;14500;102297;4.724;4.4822;2044056.91;38034;45789900.36;45789900.36;Switzerland;International Reporting Standard;Registered share
IGEA Pharma N;IGPH;41217478;NL0012768675;Foreign Shares;;CHF;0.196;0;0;19800;0.156;0.196;2500;22.7273;0.196;20220110;115612.742;0.2;0.2;0.156;13010;0;0;0;0;0;0;2239.97;2239.97;Netherlands;International Reporting Standard;Registered share
IMPLENIA N;IMPN;2386855;CH0023868554;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C2000P|C2000T|C2300P|C2300T|SXSLIX|SXSLI|SDIVI|SDIVIC|ESCGIP|ESCGIT|SPIEWT|SPIEWP|SPIE|SPIT|SPIEU|SPIET;CHF;20.56;-1.44;-0.3;1000;20.2;21;1000;3.8835;20.86;20220110;173049;20.7;20.94;20.38;15678;0;387;2.2625;2.2124;8030.65;1427;360679.61;360679.61;Switzerland;International Reporting Standard;Registered share
INA INVEST N;INA;52402695;CH0524026959;Swiss Shares;SPIX|SSCI|SNCI|SSCIX|SNCIX|SXRSX|SSIP|SSIRT|SXGE|SXRS|SNSPIX|SNSPI|SPIEX|SPIEXX|C8700P|C8700T|C8000P|C8000T|SXSLIX|SXSLI|REAL|REALX|SREAL|SREALX|ESCGIP|ESCGIT|RESAL|RESALX|SPIEWT|SPIEWP|SPIE|SPIT;CHF;18.7;-0.53;-0.1;205;18.52;18.8;3478;1.5005;18.8;20220110;173049;18.5;18.7;18.32;5641;0;150;2.6591;2.5902;2769;0;106956.7;106956.7;Switzerland;Standard for Real Estate Companies;Registered share
