Symbol,Name,Sector,sss_value,close,appearance_counter
TLV:KNFM,KNAFAIM HLDGS LTD,Industrials,6684252879195.847,855.4,0.582
TLV:MNRV,MINRAV HOLDINGS,Industrials,319301334786615.7,71720.0,0.5366
TLV:ARAN,ARAN RESEARCH&DEVE,Industrials,1077173.65887,2107.0,0.5214
TLV:BSEN,BET SHEMESH ENGINE,Industrials,4046552010.85276,6734.0,0.514
TLV:ENDY,ENDYMED LTD,Healthcare,688485.86832,279.3,0.4371
TLV:GAON,B GAON HOLDINGS LT,Industrials,389678286.52793,7109.0,0.4044
TLV:LSCO,LESICO LTD,Real Estate,6587306754.35843,723.7,0.3934
TLV:RADA,RADA ELECTRONIC,Technology,240283408.12166,4160.0,0.3564
TLV:IMCO,IMCO INDUSTRIES,Industrials,21179484566.34092,1952.0,0.3483
TLV:BOTI,BONEI HATICHON CIV,Real Estate,982718007.18301,2078.0,0.3078
TLV:ORIN,ORIAN SH.M. LTD.,Industrials,80768314.44572,3923.0,0.2809
TLV:PCBT,P.C.B TECHNOLOGIES,Technology,668585984863.21,445.0,0.2654
TLV:MRIN,Y.D. MORE INVST,Financial Services,6682264185816.037,1420.0,0.2464
TLV:BRIL,BRILL SHOE INDS,Consumer Cyclical,82259550.86534,2296.0,0.2164
TLV:CHAM,CHAM FOODS ISRAEL,Consumer Defensive,24473741382931.93,208.9,0.1934
TLV:MDPR,MEDIPOWER OVERSEAS,Real Estate,302672369.94873,608.1,0.1895
TLV:ASHO,ASHOT ASHKELON,Industrials,3102405471.91676,1064.0,0.1743
TLV:OPCE,OPC ENERGY LTD,Utilities,7.166667301856158e+16,3323.0,0.1712
TLV:CTPL5,I.C.P. ISRAEL CITR,Real Estate,1223006001748640.2,84540.0,0.1581
TLV:STCM,SATCOM SYSTEMS,Communication Services,164217505551.94608,83.8,0.1343
TLV:ANGL,SALOMON A.ANGEL,Consumer Defensive,1796705273525.4219,4848.0,0.1286
TLV:ROBO,ROBOGROUP T.E.K,Technology,7126755122395818.0,456.7,0.1172
TLV:HDST,HBL-HADASIT BIO,Healthcare,23677148945679.867,604.5,0.1158
TLV:RSEL,R.S.L.ELECTRONICS,Industrials,1808549122.03237,530.2,0.1129
TLV:HNMR,HANAN MOR GRP HLDG,Real Estate,1375922086023763.8,4862.0,0.1079
TLV:SONO,SONOVIA LTD,Technology,166717738637.5467,1250.0,0.0857
TLV:ILDC,ISRAEL LAND DEVEL,Real Estate,2.399587506228402e+20,4023.0,0.0815
TLV:RAVD,RAVAD LTD,Real Estate,4.392362870757595e+17,863.4,0.0698
TLV:UNCR,UNET CREDIT FIN,Real Estate,2.563678529846573e+24,2423.0,0.0666
TLV:ACCL,ACCEL SOLUTIONS GR,Technology,339140231637539.6,209.4,0.0551
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,2.330720293349275e+18,695.8,0.0468
TLV:ENOG,ENERGEAN PLC,Technology,3.4871034674489193e+24,3539.0,0.0297
TLV:LODZ,LODZIA ROTEX INVES,Real Estate,349637343697707.8,2567.0,0.0227
TLV:BLTZ,BLITZ TECHNOLOGIES,,6.990181459564074e+18,420.9,0.0175
