Symbol,Name,Sector,sss_value,close,appearance_counter
MRK,Merck & Company  Inc.,Healthcare,11350963.81586,77.23,8.2296
GRMN,Garmin Ltd.,Technology,8306047.45231,141.0,8.2229
TER,Teradyne  Inc.,Technology,8775651.85728,129.59,8.0884
HOLX,Hologic  Inc.,Healthcare,6213.55162,62.86,8.074
PKI,PerkinElmer  Inc.,Healthcare,32935.91098,149.69,8.0597
NLSN,Nielsen N.V.,Industrials,2144198.9652,24.89,8.0411
KMPR,Kemper Corporation,Financial Services,1630.14662,71.07,8.025
CINF,Cincinnati Financial Corporatio,Financial Services,1082732.29302,116.74,8.0021
CHKP,Check Point Software Technologi,Technology,160006.50851,119.11,7.9802
EWBC,East West Bancorp  Inc.,Financial Services,433735.16771,68.5,7.9187
SWKS,Skyworks Solutions  Inc.,Technology,111188.67393,172.46,7.8927
AEP,American Electric Power Company,Utilities,7062084.13844,84.39,7.8868
PFG,Principal Financial Group Inc,Financial Services,250973.89236,61.81,7.7823
PG,Procter & Gamble Company (The),Consumer Defensive,17079053.8965,133.99,7.7383
DOX,Amdocs Limited,Technology,1734198.92872,79.24,7.7042
BLL,Ball Corporation,Consumer Cyclical,508606.26064,79.94,7.7021
VIACA,ViacomCBS Inc.,Communication Services,1196871421.2985,44.07,7.505
DE,Deere & Company,Industrials,4477853.05173,328.38,7.4549
ALSN,Allison Transmission Holdings  ,Consumer Cyclical,179031.67874,39.58,7.4291
WEC,WEC Energy Group  Inc.,Utilities,6372996.09708,92.38,7.4232
CRUS,Cirrus Logic  Inc.,Technology,14225.54247,80.5,7.3878
AMCX,AMC Networks Inc.,Communication Services,592391.47307,61.62,7.3694
TXN,Texas Instruments Incorporated,Technology,103273976.45565,187.65,7.3475
DKS,Dick's Sporting Goods Inc,Consumer Cyclical,37270.16292,91.46,7.2277
AVGO,Broadcom Inc.,Technology,13186950.45072,471.17,7.1831
MS,Morgan Stanley,Financial Services,13694822499389.436,87.91,7.0085
APH,Amphenol Corporation,Technology,69473493.18211,67.39,6.9502
PEG,Public Service Enterprise Group,Utilities,128207182.15913,61.2,6.9365
PINC,Premier  Inc.,Healthcare,517702.94154,34.52,6.9291
PNC,PNC Financial Services Group  I,Financial Services,847763402.93797,182.45,6.8837
BIIB,Biogen Inc.,Healthcare,374331379.65293,383.52,6.87
ITW,Illinois Tool Works Inc.,Industrials,130432398.79958,223.04,6.8446
CMCSA,Comcast Corporation,Communication Services,10842460.8379,57.52,6.8001
EHC,Encompass Health Corporation,Healthcare,1486621.10055,80.71,6.7643
ED,Consolidated Edison  Inc.,Utilities,11059154.53693,76.28,6.7257
AGR,Avangrid  Inc.,Utilities,5313273.342,53.27,6.5431
VICI,VICI Properties Inc.,Real Estate,397697.43678,32.33,6.5324
DLTR,Dollar Tree  Inc.,Consumer Defensive,62770.01154,100.69,6.4604
NAVI,Navient Corporation,Financial Services,358232856.11011,19.34,6.4584
ROST,Ross Stores  Inc.,Consumer Cyclical,19194432.27257,118.23,6.3797
DFS,Discover Financial Services,Financial Services,54625973.07713,117.26,6.3404
ASML,ASML Holding N.V. - New York Re,Technology,889341006.24223,698.83,6.3211
IVZ,Invesco Ltd,Financial Services,36457.98411,27.21,6.3118
MDLZ,Mondelez International  Inc.,Consumer Defensive,100944851.64518,63.19,6.3014
WMT,Walmart Inc.,Consumer Defensive,1224742.75629,137.72,6.2865
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,8715960.87831,34.49,6.2596
WLTW,Willis Towers Watson Public Lim,Financial Services,1299434.54205,232.19,6.2441
AMGN,Amgen Inc.,Healthcare,21680268.49933,240.76,6.2236
UTHR,United Therapeutics Corporation,Healthcare,1163012.93651,182.41,6.1964
CLX,Clorox Company (The),Consumer Defensive,9103469.70934,175.45,6.15
OZK,Bank OZK,Financial Services,30866.18074,40.55,6.0916
OKE,ONEOK  Inc.,Energy,85587159.16875,54.16,6.0629
TROW,T. Rowe Price Group  Inc.,Financial Services,294337.72403,192.95,6.0455
HBAN,Huntington Bancshares Incorpora,Financial Services,8004697.55435,13.52,6.0395
PFE,Pfizer  Inc.,Healthcare,25872801.15335,39.48,6.0293
MSFT,Microsoft Corporation,Technology,549440969.92447,260.9,5.9735
FISV,Fiserv  Inc.,Technology,1719159.73305,109.05,5.9667
LOPE,Grand Canyon Education  Inc.,Consumer Defensive,3267.04892,88.44,5.9346
ACGL,Arch Capital Group Ltd.,Financial Services,4638.12196,38.51,5.8256
PRI,Primerica  Inc.,Financial Services,596391.61516,148.73,5.7305
ADBE,Adobe Inc.,Technology,1321413855.08669,551.36,5.7183
USM,United States Cellular Corporat,Communication Services,30136.71947,38.4,5.7156
LHX,L3Harris Technologies  Inc.,Industrials,5416440.1426,220.38,5.5787
CRI,Carter's  Inc.,Consumer Cyclical,932049.88692,104.2,5.5433
MTG,MGIC Investment Corporation,Financial Services,156578.39396,13.89,5.542
CHE,Chemed Corp,Healthcare,829590.39195,472.98,5.5324
DHR,Danaher Corporation,Healthcare,13287294.02245,257.08,5.483
JAZZ,Jazz Pharmaceuticals plc,Healthcare,776659.97007,177.75,5.4791
MET,MetLife  Inc.,Financial Services,6542250.64187,60.25,5.4595
ASB,Associated Banc-Corp,Financial Services,840931.60066,21.06,5.4085
BG,Bunge Limited Bunge Limited,Consumer Defensive,12703411722.62506,78.01,5.3792
RHI,Robert Half International Inc.,Industrials,8026033.26739,87.84,5.3444
GL,Globe Life Inc.,Financial Services,1210210.60666,98.11,5.3199
BR,Broadridge Financial Solutions ,Technology,530025949.80969,159.72,5.2106
FDX,FedEx Corporation,Industrials,629008.65007,287.57,5.1991
ADS,Alliance Data Systems Corporati,Financial Services,214854.64774,107.03,5.155
UHAL,Amerco,Industrials,691168.85371,531.54,5.1148
DOV,Dover Corporation,Industrials,51315819.55136,145.76,5.0367
AVY,Avery Dennison Corporation,Industrials,22036631.80386,208.57,4.9925
ADSK,Autodesk  Inc.,Technology,3429696613.9078,276.34,4.9914
IP,International Paper Company,Consumer Cyclical,2991770.08354,60.23,4.9904
CAH,Cardinal Health  Inc.,Healthcare,1595359.22004,57.39,4.9333
CACI,CACI International  Inc.,Technology,232886.8149,263.83,4.9095
ORLY,O'Reilly Automotive  Inc.,Consumer Cyclical,5191821262642.22,537.54,4.9029
ADP,Automatic Data Processing  Inc.,Industrials,1667822439.78461,197.5,4.8584
PB,Prosperity Bancshares  Inc.,Financial Services,1692834.33065,72.4,4.8422
HUN,Huntsman Corporation,Basic Materials,276984.46082,25.85,4.8044
CL,Colgate-Palmolive Company,Consumer Defensive,22199761094.95791,82.43,4.8033
FAST,Fastenal Company,Industrials,43322768.00633,50.3,4.7896
MO,Altria Group  Inc.,Consumer Defensive,390558572.32012,46.87,4.7494
BEN,Franklin Resources  Inc.,Financial Services,42254.29399,32.24,4.6934
FAF,First American Corporation (New,Financial Services,355332.73013,63.3,4.689
JPM,JP Morgan Chase & Co.,Financial Services,352901274860.3461,151.76,4.6871
YUMC,Yum China Holdings  Inc.,Consumer Cyclical,2402838.20543,65.82,4.6866
NLY,Annaly Capital Management Inc,Real Estate,2704390340.72901,9.06,4.6827
HII,Huntington Ingalls Industries  ,Industrials,24188900.09701,211.64,4.6823
HRL,Hormel Foods Corporation,Consumer Defensive,2643733.32267,48.34,4.6438
KNX,Knight-Swift Transportation Hol,Industrials,3665.4682,45.11,4.5945
FB,Facebook  Inc.,Communication Services,6872175.21856,336.51,4.594
