BAYERCROP.NS,633.33,29.891,7.5208817,21406,4.7520027,4833.65,44942100,42613000000
BBL.NS,1889.134,15.124,0.8473988,906,0.75141746,1541.6,5651560,7310486000
BBTC.NS,814.064,3.431,1.1094337,6301,0.43922773,898.05,69771904,137017973000
BEARDSELL.NS,14.142,7.736,1.0535991,41,0.2372741,15.55,28099000,1322521000
BEDMUTHA.NS,24.262,12.033,3.041794,239,0.39657834,73.5,32263900,3883502000
BEL.NS,47.016,15.167,4.9663944,56894,3.5679762,226.9,2436590080,141086900000
BEML.NS,508.65,26.964,2.479308,5251,1.2047405,1214.6,41644500,35571289000
BFINVEST.NS,1000.295,60.558,0.25262547,952,44.131943,249.85,37667600,164100000
BFUTILITIE.NS,-110.201,9.533,,1094,2.4428222,281.25,37667600,3705030000
BGLOBAL.NS,57.164,6.987,0.051605906,4,0.3494455,2.95,15843100,111764000
BGRENERGY.NS,101.531,185.872,0.6101585,448,0.32128122,60.9,72161600,11397200000
BHAGERIA.NS,106.465,9.259,1.564364,726,1.311766,163.35,43644200,4019824000
BHARATFORG.NS,125.064,21.391,5.158559,30037,3.3483481,651.3,465588992,63362610000
BHARATGEAR.NS,95.154,4.121,1.4014125,136,0.19151324,126.1,10236700,5030279000
BHARATWIRE.NS,8.39,9.893,7.318236,387,1.1218654,58.25,63028200,2501747000
BHARTIARTL.NS,109.654,11.294,6.121072,394729,3.5435581,660.2,5880949760,1012586000000
BHEL.NS,72.151,-9.519,0.6313149,16019,0.7883559,44.3,3482060032,173086900000
BIL.NS,287.925,41.691,0.57289225,201,0.29648492,165.7,12207100,5483935000
BILENERGY.NS,-2.196,-2.225,,13,-188.30608,0.6,211416000,0
BINANIIND.NS,-53.009,-1.587,,17,16.313599,5.55,31366200,18371000
BINDALAGRO.NS,95.145,9.148,0.24751695,604,5.6736517,23.15,256808992,1121839000
BIRLACORPN.NS,747.378,9.723,1.1746399,6775,0.9244575,840.35,77005296,67854500000
BLBLIMITED.NS,15.779,,1.1217442,94,0.32377416,16.9,52865300,5361596000
BLISSGVS.NS,82.296,7.202,0.90162337,769,1.0797911,73.3,103678000,5772054000
BLKASHYAP.NS,17.715,8.599,1.0556027,422,0.37520176,18.35,225440000,7622582779
BLUEBLENDS.NS,-20.605,-0.217,,2,0.19492295,0.8,21651200,95338494
BLUECHIP.NS,0.654,-8.547,0.61162084,2,230.97986,0.4,55304300,20610
BLUECOAST.NS,-86.911,-5.387,,8,9.648351,6.85,12748500,796000
BLUEDART.NS,285.806,22.09,25.52448,17309,4.107383,7286.75,23727900,32895400000
BLUESTARCO.NS,92.93,38.27,10.423437,9329,1.7246221,952.75,96313904,42635900000
BODALCHEM.NS,83.247,7.537,0.9880236,1009,0.5351011,80.4,122482000,12264330000
BOMDYEING.NS,-17.053,44.128,,2034,1.0698707,93.75,206535008,11934200000
BOSCHLTD.NS,3462.65,24.173,4.120197,42077,3.640961,13821.95,29493600,95866000000
BPCL.NS,227.619,6.091,1.3511612,66715,0.20888273,307.9,2169250048,2301626300000
BPL.NS,30.985,46.302,2.0929482,318,7.253493,64.1,48884800,437568000
BRFL.NS,16.735,-16.802,0.310726,165,1.9102929,5.2,317476000,1087700000
BRIGADE.NS,120.579,19.697,3.6407666,10107,3.5494637,440.15,230102000,19499700000
BRITANNIA.NS,74.851,37.653,46.350086,83565,6.1080832,3411.45,240868000,131007200000
BROOKS.NS,29.817,-20.435,2.9362445,216,2.778302,85.5,24702800,778099000
BSL.NS,81.939,7.022,1.1014291,92,0.22884943,89.7,10292200,3214249000
BURNPUR.NS,-30.212,19.086,,40,0.20971963,4.45,86124400,1245827000
BUTTERFLY.NS,139.87,27.737,7.764353,1943,1.9195462,1085.1,17879600,8696381000
BVCL.NS,54.051,8.717,0.40054762,47,0.27559167,21.4,22160000,1468990000
BYKE.NS,39.393,23.346,0.80471146,127,1.5341318,30.55,40097800,656066000
CALSOFT.NS,8.05,,2.6397514,33,3.1679895,20.85,15457100,9000000
CAMLINFINE.NS,54.488,12.082,2.0151227,1401,1.0384347,102.95,127628000,11871031000
CANBK.NS,393.066,,0.47294855,33724,0.9016721,181.85,1814130048,321664500000
CANTABIL.NS,79.674,31.551,12.900067,1679,4.8965197,1007.8,16327600,2516438000
CAPLIPOINT.NS,175.489,12.791,3.9489655,5250,4.3396964,682.5,75768896,10623528000
CARBORUNIV.NS,121.741,24.5,5.590968,12936,4.027392,669.6,189800000,26317080000
CAREERP.NS,252.621,84.051,0.41999674,193,4.2720423,106.8,18192900,491966000
CARERATING.NS,207.324,10.559,1.999045,1228,4.6999855,414.55,29636500,2484469000
CCCL.NS,-11.125,-62.934,,80,0.51260865,1.95,398511008,2036872000
CCHHL.NS,21.908,-24.432,0.35375205,127,1.9537909,7.05,163464992,533713386
CCL.NS,87.331,17.838,4.1027813,4766,3.3545465,352.4,133028000,12455497000
CEATLTD.NS,819.335,9.851,1.1315885,3750,0.41389176,926.75,40450100,76096000000
CEBBCO.NS,11.957,20.188,4.348917,465,1.1156216,52.45,89482704,3634639000
CELEBRITY.NS,1.246,9.847,10.112359,60,0.18721059,12.15,47768000,2327700000
CENTENKA.NS,528.297,3.785,0.8119486,938,0.4765966,416.6,21850600,12228000000
CENTEXT.NS,6.581,4.331,1.4283544,79,0.27605507,9.1,80000000,1873300000
CENTRALBK.NS,30.87,,0.5604146,15018,2.228318,17.05,8680939520,54896000000
