ev,pe,evr / pm,0.002,10.929,19.299,32.959,54.117,90.295,151.711,322.338
0.000000,45.389300,1.50467,600.000000,392.000000,276.000000,191.000000,137.000000,96.000000,69.000000,26.000000
0.000000,45.389300,0.87078,295.000000,171.000000,120.000000,89.000000,66.000000,45.000000,29.000000,11.000000
0.000000,32.915510,14053.571,1739.000000,1480.000000,1284.000000,1069.000000,841.000000,629.000000,444.000000,231.000000
0.000000,32.915510,10.81844,1573.000000,1317.000000,1123.000000,910.000000,689.000000,490.000000,325.000000,155.000000
0.000000,32.915510,6.54996,1440.000000,1192.000000,1002.000000,792.000000,585.000000,412.000000,276.000000,133.000000
0.000000,32.915510,4.58667,1247.000000,1002.000000,819.000000,618.000000,446.000000,321.000000,221.000000,101.000000
0.000000,32.915510,3.40178,1036.000000,797.000000,627.000000,457.000000,327.000000,239.000000,164.000000,73.000000
0.000000,32.915510,2.29567,804.000000,582.000000,434.000000,307.000000,219.000000,157.000000,111.000000,43.000000
0.000000,32.915510,1.50467,552.000000,360.000000,256.000000,177.000000,128.000000,90.000000,68.000000,26.000000
0.000000,32.915510,0.87078,276.000000,157.000000,109.000000,81.000000,60.000000,40.000000,28.000000,11.000000
0.000000,25.646990,14053.571,1384.000000,1177.000000,1017.000000,839.000000,657.000000,489.000000,344.000000,181.000000
0.000000,25.646990,10.81844,1259.000000,1055.000000,896.000000,720.000000,544.000000,383.000000,255.000000,120.000000
0.000000,25.646990,6.54996,1162.000000,962.000000,806.000000,632.000000,462.000000,324.000000,217.000000,100.000000
0.000000,25.646990,4.58667,1022.000000,824.000000,672.000000,505.000000,361.000000,259.000000,179.000000,80.000000
0.000000,25.646990,3.40178,862.000000,669.000000,527.000000,383.000000,269.000000,195.000000,135.000000,60.000000
0.000000,25.646990,2.29567,689.000000,509.000000,383.000000,268.000000,187.000000,133.000000,95.000000,36.000000
0.000000,25.646990,1.50467,482.000000,326.000000,232.000000,156.000000,111.000000,78.000000,59.000000,22.000000
0.000000,25.646990,0.87078,243.000000,141.000000,96.000000,69.000000,50.000000,33.000000,24.000000,10.000000
0.000000,20.734000,14053.571,1034.000000,865.000000,737.000000,605.000000,467.000000,344.000000,241.000000,122.000000
0.000000,20.734000,10.81844,932.000000,766.000000,638.000000,508.000000,375.000000,256.000000,168.000000,70.000000
0.000000,20.734000,6.54996,869.000000,706.000000,580.000000,451.000000,321.000000,215.000000,142.000000,55.000000
0.000000,20.734000,4.58667,776.000000,615.000000,491.000000,366.000000,255.000000,175.000000,122.000000,47.000000
0.000000,20.734000,3.40178,676.000000,519.000000,403.000000,290.000000,202.000000,135.000000,96.000000,37.000000
0.000000,20.734000,2.29567,555.000000,408.000000,300.000000,209.000000,140.000000,91.000000,67.000000,22.000000
0.000000,20.734000,1.50467,395.000000,268.000000,184.000000,120.000000,82.000000,52.000000,39.000000,12.000000
0.000000,20.734000,0.87078,206.000000,117.000000,73.000000,48.000000,33.000000,18.000000,14.000000,0.000000
0.000000,15.583720,14053.571,684.000000,554.000000,466.000000,380.000000,288.000000,208.000000,153.000000,76.000000
0.000000,15.583720,10.81844,619.000000,492.000000,404.000000,320.000000,233.000000,155.000000,107.000000,41.000000
0.000000,15.583720,6.54996,577.000000,453.000000,366.000000,283.000000,197.000000,128.000000,87.000000,30.000000
0.000000,15.583720,4.58667,523.000000,400.000000,315.000000,233.000000,158.000000,103.000000,74.000000,24.000000
0.000000,15.583720,3.40178,468.000000,347.000000,268.000000,192.000000,130.000000,82.000000,58.000000,20.000000
0.000000,15.583720,2.29567,383.000000,268.000000,196.000000,136.000000,85.000000,52.000000,38.000000,11.000000
0.000000,15.583720,1.50467,284.000000,181.000000,123.000000,78.000000,50.000000,30.000000,25.000000,0.000000
0.000000,15.583720,0.87078,164.000000,85.000000,53.000000,33.000000,21.000000,9.000000,8.000000,0.000000
0.000000,9.784390,14053.571,342.000000,265.000000,219.000000,178.000000,131.000000,81.000000,63.000000,33.000000
0.000000,9.784390,10.81844,307.000000,233.000000,187.000000,148.000000,105.000000,56.000000,41.000000,14.000000
0.000000,9.784390,6.54996,294.000000,222.000000,176.000000,137.000000,94.000000,50.000000,36.000000,10.000000
0.000000,9.784390,4.58667,263.000000,192.000000,147.000000,108.000000,72.000000,37.000000,28.000000,9.000000
0.000000,9.784390,3.40178,243.000000,172.000000,128.000000,90.000000,61.000000,30.000000,22.000000,8.000000
0.000000,9.784390,2.29567,197.000000,131.000000,89.000000,60.000000,39.000000,20.000000,15.000000,0.000000
0.000000,9.784390,1.50467,159.000000,99.000000,63.000000,35.000000,23.000000,12.000000,12.000000,0.000000
