pb,pi,ev,pe,evr / pm,0.39079,4.62515,9.04967,17.69494,33.39498,85.28079,225.51545
10000.000000,0.000012,780.000000,31.779998,107.681859,71.000000,71.000000,64.000000,53.000000,46.000000,39.000000,18.000000
10000.000000,0.000012,780.000000,31.779998,6.119810,50.000000,50.000000,45.000000,38.000000,32.000000,26.000000,10.000000
10000.000000,0.000012,780.000000,31.779998,2.389157,34.000000,34.000000,29.000000,22.000000,17.000000,12.000000,7.000000
10000.000000,0.000012,780.000000,31.779998,0.953586,20.000000,20.000000,17.000000,14.000000,11.000000,8.000000,0.000000
10000.000000,0.000012,780.000000,31.779998,0.514668,9.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,31.779998,0.287114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,18.552941,107.681859,53.000000,53.000000,48.000000,39.000000,33.000000,27.000000,14.000000
10000.000000,0.000012,780.000000,18.552941,6.119810,38.000000,38.000000,35.000000,30.000000,25.000000,20.000000,9.000000
10000.000000,0.000012,780.000000,18.552941,2.389157,24.000000,24.000000,21.000000,16.000000,12.000000,8.000000,0.000000
10000.000000,0.000012,780.000000,18.552941,0.953586,14.000000,14.000000,12.000000,9.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,18.552941,0.514668,7.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,18.552941,0.287114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,14.195967,107.681859,36.000000,36.000000,32.000000,24.000000,20.000000,15.000000,8.000000
10000.000000,0.000012,780.000000,14.195967,6.119810,25.000000,25.000000,23.000000,18.000000,15.000000,11.000000,0.000000
10000.000000,0.000012,780.000000,14.195967,2.389157,17.000000,17.000000,15.000000,10.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,14.195967,0.953586,12.000000,12.000000,10.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,14.195967,0.514668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,14.195967,0.287114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,9.460890,107.681859,13.000000,13.000000,10.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,9.460890,6.119810,8.000000,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,9.460890,2.389157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,9.460890,0.953586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,9.460890,0.514668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,9.460890,0.287114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.494150,8.000000,176165.804811,107.681859,179.000000,153.000000,120.000000,95.000000,65.000000,41.000000,17.000000
10000.000000,0.494150,8.000000,176165.804811,6.119810,159.000000,133.000000,101.000000,79.000000,51.000000,33.000000,12.000000
10000.000000,0.494150,8.000000,176165.804811,2.389157,133.000000,108.000000,78.000000,56.000000,31.000000,18.000000,7.000000
10000.000000,0.494150,8.000000,176165.804811,0.953586,101.000000,78.000000,56.000000,39.000000,21.000000,13.000000,0.000000
10000.000000,0.494150,8.000000,176165.804811,0.514668,70.000000,52.000000,37.000000,23.000000,11.000000,0.000000,0.000000
10000.000000,0.494150,8.000000,176165.804811,0.287114,37.000000,23.000000,16.000000,10.000000,0.000000,0.000000,0.000000
10000.000000,0.494150,8.000000,31.779998,107.681859,146.000000,132.000000,105.000000,84.000000,55.000000,37.000000,14.000000
10000.000000,0.494150,8.000000,31.779998,6.119810,132.000000,118.000000,92.000000,73.000000,46.000000,30.000000,10.000000
10000.000000,0.494150,8.000000,31.779998,2.389157,111.000000,97.000000,72.000000,53.000000,28.000000,16.000000,0.000000
10000.000000,0.494150,8.000000,31.779998,0.953586,85.000000,71.000000,52.000000,37.000000,19.000000,12.000000,0.000000
10000.000000,0.494150,8.000000,31.779998,0.514668,64.000000,51.000000,36.000000,23.000000,11.000000,0.000000,0.000000
