pi,ev,pe,evr / pm,0.202,3.15331,5.8275,9.94825,21.08482,39.5317,93.65682
0.000012,85.000000,3.175803,9.633864,63.000000,61.000000,55.000000,44.000000,34.000000,19.000000,8.000000
0.000012,85.000000,3.175803,3.917775,56.000000,54.000000,48.000000,38.000000,28.000000,15.000000,0.000000
0.000012,85.000000,3.175803,1.810113,48.000000,46.000000,40.000000,30.000000,20.000000,11.000000,0.000000
0.000012,85.000000,3.175803,0.766252,35.000000,33.000000,27.000000,21.000000,14.000000,7.000000,0.000000
0.000012,85.000000,3.175803,0.454205,27.000000,25.000000,20.000000,15.000000,10.000000,0.000000,0.000000
0.000012,85.000000,3.175803,0.259234,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,85.000000,2.108153,3811.102525,33.000000,30.000000,29.000000,24.000000,16.000000,7.000000,0.000000
0.000012,85.000000,2.108153,9.633864,25.000000,24.000000,24.000000,21.000000,15.000000,7.000000,0.000000
0.000012,85.000000,2.108153,3.917775,24.000000,23.000000,23.000000,20.000000,14.000000,7.000000,0.000000
0.000012,85.000000,2.108153,1.810113,21.000000,20.000000,20.000000,17.000000,11.000000,0.000000,0.000000
0.000012,85.000000,2.108153,0.766252,15.000000,14.000000,14.000000,13.000000,9.000000,0.000000,0.000000
0.000012,85.000000,2.108153,0.454205,12.000000,11.000000,11.000000,10.000000,7.000000,0.000000,0.000000
0.000012,85.000000,2.108153,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,301.000000,27150.579482,3811.102525,162.000000,146.000000,126.000000,98.000000,77.000000,57.000000,31.000000
0.000012,301.000000,27150.579482,9.633864,139.000000,128.000000,109.000000,84.000000,66.000000,48.000000,24.000000
0.000012,301.000000,27150.579482,3.917775,105.000000,95.000000,77.000000,55.000000,37.000000,23.000000,9.000000
0.000012,301.000000,27150.579482,1.810113,81.000000,73.000000,57.000000,37.000000,21.000000,11.000000,0.000000
0.000012,301.000000,27150.579482,0.766252,57.000000,50.000000,37.000000,25.000000,15.000000,9.000000,0.000000
0.000012,301.000000,27150.579482,0.454205,30.000000,25.000000,18.000000,12.000000,0.000000,0.000000,0.000000
0.000012,301.000000,27150.579482,0.259234,12.000000,10.000000,7.000000,7.000000,0.000000,0.000000,0.000000
0.000012,301.000000,19.094729,3811.102525,148.000000,138.000000,120.000000,93.000000,72.000000,53.000000,30.000000
0.000012,301.000000,19.094729,9.633864,128.000000,121.000000,104.000000,80.000000,62.000000,44.000000,23.000000
